(-0.174, 0.305, 0.954),
(-0.173, 0.312, 0.962),
(-0.173, 0.303, 0.951),
(-0.170, 0.302, 0.953),
(-0.170, 0.309, 0.954),
(-0.165, 0.307, 0.960),
(-0.163, 0.302, 0.961),
(-0.162, 0.301, 0.954),
(-0.162, 0.311, 0.953),
(-0.151, 0.314, 0.949),
(-0.144, 0.314, 0.950),
(-0.140, 0.313, 0.945),
(-0.146, 0.323, 0.946),
(-0.136, 0.335, 0.948),
(-0.140, 0.346, 0.943),
(-0.144, 0.359, 0.943),
(-0.157, 0.389, 0.949),
(-0.162, 0.399, 0.954),
(-0.175, 0.404, 0.956),
(-0.183, 0.408, 0.962),
(-0.191, 0.415, 0.970),
(-0.177, 0.436, 0.977),
(-0.150, 0.461, 0.964),
(-0.127, 0.488, 0.964),
(-0.108, 0.519, 0.968),
(-0.077, 0.580, 0.987),
(-0.039, 0.733, 1.026),
(-0.034, 0.770, 1.026),
(-0.029, 0.790, 1.021),
(-0.011, 0.853, 1.029),
(-0.135, 0.803, 1.002),
(-0.128, 0.784, 0.989),
(-0.122, 0.769, 0.986),
(-0.133, 0.755, 0.995),
(-0.155, 0.724, 0.982),
(-0.166, 0.710, 0.971),
(-0.149, 0.708, 0.944),
(-0.134, 0.678, 0.932),
(-0.131, 0.686, 0.935),
(-0.121, 0.714, 0.963),
(-0.103, 0.735, 0.977),
(-0.066, 0.712, 0.997),
(-0.081, 0.719, 1.019),
(-0.104, 0.713, 1.020),
(-0.127, 0.720, 1.003),
(-0.109, 0.780, 1.023),
(-0.079, 0.788, 1.031),
(-0.005, 0.781, 1.052),
(0.081, 0.760, 1.100),
(0.017, 0.539, 1.036),
(-0.092, 0.474, 1.041),
(-0.166, 0.428, 1.040),
(-0.185, 0.409, 1.038),
(-0.139, 0.423, 1.001),
(-0.044, 0.426, 1.001),
(0.061, 0.400, 1.006),
(0.142, 0.372, 1.014),
(0.127, 0.142, 0.885),
(0.077, 0.076, 0.866),
(0.084, 0.069, 0.861),
(0.133, 0.075, 0.870),
(0.252, 0.093, 0.903),
(0.306, 0.079, 0.888),
(0.300, 0.045, 0.874),
(0.319, 0.015, 0.835),
(0.326, -0.039, 0.821),
(0.369, -0.085, 0.795),
(0.415, -0.126, 0.795),
(0.474, -0.099, 0.769),
(0.435, -0.084, 0.751),
(0.406, -0.084, 0.698),
(0.433, -0.113, 0.676),
(0.501, -0.105, 0.687),
(0.605, 0.066, 0.729),
(0.599, 0.082, 0.704),
(0.608, 0.062, 0.636),
(0.559, 0.052, 0.583),
(0.491, 0.077, 0.599),
(0.479, 0.112, 0.606),
(0.456, 0.130, 0.587),
(0.384, 0.127, 0.630),
(0.345, 0.121, 0.764),
(0.346, 0.118, 0.742),
(0.347, 0.118, 0.715),
(0.398, 0.128, 0.719),
(0.513, 0.133, 0.763),
(0.480, 0.140, 0.770),
(0.427, 0.134, 0.820),
(0.413, 0.126, 0.833),
(0.394, 0.128, 0.842),
(0.418, 0.112, 0.838),
(0.449, 0.082, 0.839),
(0.459, 0.061, 0.831),
(0.416, 0.015, 0.843),
(0.413, 0.001, 0.840),
(0.412, -0.006, 0.836),
(0.390, -0.016, 0.837),
(0.328, -0.069, 0.820),
(0.330, -0.082, 0.837),
(0.358, -0.045, 0.864),
(0.347, -0.003, 0.896),
(0.220, 0.009, 0.856),
(0.194, 0.004, 0.849),
(0.202, 0.011, 0.886),
(0.219, 0.015, 0.916),
(0.172, 0.024, 0.999),
(0.135, 0.013, 0.991),
(0.134, -0.005, 0.961),
(0.141, 0.008, 0.976),
(0.204, -0.001, 1.000),
(0.250, 0.008, 1.004),
(0.242, 0.046, 1.017),
(0.235, 0.091, 1.008),
(0.137, 0.105, 1.009),
(0.090, 0.063, 0.997),
(0.086, 0.038, 0.988),
(0.112, 0.072, 0.993),
(0.161, 0.193, 1.028),
(0.154, 0.297, 1.099),
(0.165, 0.323, 1.093),
(0.140, 0.280, 1.071),
(0.049, 0.209, 0.965),
(0.010, 0.231, 0.969),
(0.020, 0.362, 1.056),
(0.094, 0.497, 1.068),
(0.135, 0.622, 1.136),
(0.077, 0.581, 1.087),
(-0.017, 0.500, 1.006),
(-0.119, 0.423, 0.943),
(-0.218, 0.476, 0.946),
(-0.125, 0.577, 1.007),
(-0.024, 0.640, 1.027),
(0.028, 0.671, 1.040),
(0.038, 0.632, 0.996),
(0.010, 0.588, 0.969),
(-0.058, 0.568, 0.943),
(-0.118, 0.576, 0.916),
(-0.210, 0.563, 0.896),
(-0.237, 0.602, 0.891),
(-0.228, 0.630, 0.857),
(-0.197, 0.664, 0.854),
(-0.134, 0.703, 0.870),
(-0.130, 0.720, 0.854),
(-0.121, 0.727, 0.828),
(-0.126, 0.644, 0.772),
(-0.161, 0.701, 0.799),
(-0.148, 0.680, 0.793),
(-0.169, 0.687, 0.793),
(-0.195, 0.700, 0.807),
(-0.190, 0.734, 0.818),
(-0.179, 0.622, 0.779),
(-0.182, 0.659, 0.750),
(-0.180, 0.734, 0.817),
(-0.255, 0.832, 0.887),
(-0.299, 0.878, 0.903),
(-0.338, 0.877, 0.877),
(-0.316, 0.859, 0.858),
(-0.259, 0.773, 0.813),
(-0.261, 0.759, 0.814),
(-0.246, 0.806, 0.855),
(-0.256, 0.779, 0.847),
(-0.302, 0.783, 0.899),
(-0.314, 0.785, 0.914),
(-0.299, 0.796, 0.940),
(-0.269, 0.777, 0.952),
(-0.219, 0.716, 1.010),
(-0.205, 0.696, 1.045),
(-0.179, 0.675, 1.081),
(-0.161, 0.638, 1.072),
(-0.143, 0.584, 1.057),
(-0.133, 0.553, 1.057),
(-0.142, 0.518, 1.046),
(-0.160, 0.502, 1.045),
(-0.162, 0.501, 1.055),
(-0.170, 0.510, 1.065),
(-0.194, 0.490, 1.048),
(-0.225, 0.466, 1.032),
(-0.256, 0.411, 0.987),
(-0.269, 0.406, 0.980),
(-0.283, 0.385, 0.942),
(-0.291, 0.390, 0.921),
(-0.325, 0.401, 0.884),
(-0.338, 0.419, 0.873),
(-0.341, 0.445, 0.883),
(-0.346, 0.423, 0.865),
(-0.343, 0.400, 0.865),
(-0.334, 0.394, 0.861),
(-0.269, 0.455, 0.914),
(-0.267, 0.458, 0.911),
(-0.265, 0.451, 0.907),
(-0.274, 0.480, 0.914),
(-0.284, 0.477, 0.899),
(-0.286, 0.482, 0.885),
(-0.286, 0.507, 0.878),
(-0.303, 0.519, 0.881),
(-0.314, 0.528, 0.883),
(-0.329, 0.542, 0.899),
(-0.330, 0.566, 0.907),
(-0.315, 0.560, 0.908),
(-0.303, 0.564, 0.915),
(-0.300, 0.563, 0.917),
(-0.282, 0.577, 0.921),
(-0.272, 0.613, 0.911),
(-0.213, 0.780, 0.921),
(-0.206, 0.806, 0.911),
(-0.207, 0.838, 0.914),
(-0.222, 0.911, 0.912),
(-0.206, 0.952, 0.925),
(-0.203, 0.952, 0.919),
(-0.219, 0.946, 0.932),
(-0.227, 0.963, 0.968),
(-0.248, 0.957, 0.985),
(-0.259, 0.955, 0.979),
(-0.284, 0.926, 0.957),
(-0.284, 0.922, 0.980),
(-0.275, 0.913, 1.016),
(-0.295, 0.836, 0.990),
(-0.357, 0.762, 0.986),
(-0.356, 0.741, 0.988),
(-0.326, 0.723, 0.971),
(-0.295, 0.729, 0.961),
(-0.305, 0.724, 0.983),
(-0.335, 0.684, 0.971),
(-0.353, 0.642, 0.985),
(-0.282, 0.599, 0.991),
(-0.214, 0.508, 1.063),
(-0.261, 0.496, 1.047),
